epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,1.2410832259899531,1e-05,0.20353305,227.3454,0.049432486,0.026125614,0.22038424,1.1991807222366333,0.20358186960220337,29.3486385345459,0.06279418617486954,0.02481161244213581,0.24949690699577332
1,1.0774358755502946,1e-05,0.18113466,212.31647,0.03496527,0.019676372,0.18580866,1.044895887374878,0.19707417488098145,28.206819534301758,0.06541876494884491,0.02601374313235283,0.2544940710067749
2,0.9347618729640276,1e-05,0.16400851,198.1561,0.028518045,0.016480248,0.16757046,0.8942316174507141,0.17810651659965515,26.253389358520508,0.048516299575567245,0.019391339272260666,0.21944183111190796
3,0.8069579178706193,1e-05,0.14814416,184.29564,0.02335229,0.013837482,0.1514321,0.7713784575462341,0.1753872185945511,25.61911392211914,0.04956722632050514,0.019973119720816612,0.22182779014110565
4,0.6927954316903383,1e-05,0.13317461,170.0964,0.018992906,0.011509009,0.13643087,0.6636770963668823,0.1706303209066391,24.7773380279541,0.045791465789079666,0.017959080636501312,0.2131572961807251
5,0.5914984113130815,1e-05,0.11912966,156.97244,0.015435491,0.009567708,0.12255374,0.576695442199707,0.18575404584407806,26.940444946289062,0.05241631716489792,0.020775264129042625,0.22805432975292206
6,0.5021662720885032,1e-05,0.106062606,144.45099,0.012504165,0.007915383,0.10978755,0.5006356835365295,0.18585558235645294,26.944093704223633,0.05161656066775322,0.02039320208132267,0.22649668157100677
7,0.4240330689610579,1e-05,0.09407064,131.42805,0.010025605,0.0064746127,0.09807189,0.4467877149581909,0.21165455877780914,30.508153915405273,0.06847956031560898,0.027994513511657715,0.26092517375946045
8,0.35635958241346555,1e-05,0.08299622,119.78378,0.008015074,0.005276805,0.08731191,0.39016255736351013,0.21437954902648926,30.567041397094727,0.07362616062164307,0.030212756246328354,0.2704639434814453
9,0.29828962828868477,1e-05,0.07316053,108.62519,0.0063999086,0.004286996,0.0777866,0.3360145390033722,0.19612988829612732,27.861467361450195,0.06233493238687515,0.024872323498129845,0.248832568526268
10,0.24910419617707913,1e-05,0.06436792,98.761826,0.005138877,0.0034946124,0.06931834,0.29588332772254944,0.19317205250263214,27.233118057250977,0.0629570484161377,0.02506914548575878,0.24989460408687592
11,0.2080114925136933,1e-05,0.05698676,89.66507,0.0041853962,0.00288382,0.062162764,0.24780391156673431,0.19097784161567688,26.98143768310547,0.06016046553850174,0.023705754429101944,0.2445099651813507
12,0.17408025910456976,1e-05,0.050925363,81.82388,0.0034518577,0.0023994124,0.05620125,0.21904794871807098,0.17064227163791656,23.992904663085938,0.04892202839255333,0.018688172101974487,0.22036013007164001
13,0.14643681116211107,1e-05,0.04596715,74.69244,0.002898175,0.0020268068,0.051294066,0.18141360580921173,0.17720656096935272,25.050968170166016,0.05091894045472145,0.01953858882188797,0.22477804124355316
14,0.12421006299555301,1e-05,0.041932028,68.645546,0.002469756,0.0017330466,0.047160976,0.1593589186668396,0.1469566971063614,20.555349349975586,0.03724418580532074,0.013698053546249866,0.1919906884431839
15,0.10654006375907324,1e-05,0.039086185,64.09443,0.0021991662,0.0015425876,0.044176232,0.1268782615661621,0.12476940453052521,17.262706756591797,0.028831474483013153,0.010275491513311863,0.1685231477022171
16,0.0925774168700744,1e-05,0.036946345,59.917316,0.0019787455,0.0013843015,0.041913927,0.11478084325790405,0.11168127506971359,15.337892532348633,0.024319754913449287,0.008502046577632427,0.15510018169879913
17,0.08162653709833438,1e-05,0.0347429,56.580143,0.0017569383,0.0012309797,0.03961716,0.08868414163589478,0.08944079279899597,12.863539695739746,0.013769726268947124,0.004618427250534296,0.11658773571252823
18,0.07311913004288306,1e-05,0.033370007,53.26961,0.0016397401,0.0011411629,0.03820322,0.08090490102767944,0.0870780497789383,12.688104629516602,0.01178072765469551,0.0039348118007183075,0.10784599184989929
19,0.06649340150447992,1e-05,0.032887846,51.4094,0.0015835273,0.0010955174,0.03753679,0.07339497655630112,0.09631463140249252,14.92296028137207,0.011439709924161434,0.003951528575271368,0.10672933608293533
20,0.06118935335618563,1e-05,0.032491498,49.789024,0.0015482033,0.0010643466,0.037136566,0.06965956091880798,0.09839323163032532,15.428900718688965,0.011426562443375587,0.003985585644841194,0.10675447434186935
