epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,1.4211121410131455,1e-04,0.46705595,3250.6787,0.22338812,0.14319505,0.47238857,1.2848725318908691,0.40230703353881836,609.4094848632812,0.16198132932186127,0.10256453603506088,0.4024648070335388
1,1.2529957935214042,1e-04,0.4447547,3097.8083,0.19856246,0.13073641,0.44555607,1.1257747411727905,0.3735079765319824,565.7850952148438,0.13971805572509766,0.09030172228813171,0.37378281354904175
2,1.103479740023613,1e-04,0.4236027,2957.6406,0.17999218,0.12041813,0.42420974,0.9803683757781982,0.3441425561904907,521.3027954101562,0.1187116876244545,0.07837406545877457,0.3445437550544739
3,0.9699656650424003,1e-04,0.4027549,2808.215,0.16256286,0.11049988,0.40314078,0.8583477735519409,0.3238953948020935,490.63262939453125,0.10504712909460068,0.07044339925050735,0.32410573959350586
4,0.8515469007194042,1e-04,0.38182145,2667.8984,0.14609694,0.10087945,0.38217852,0.7562332153320312,0.31550002098083496,477.9154052734375,0.10014066100120544,0.06744300574064255,0.3164144456386566
5,0.7467476271092892,1e-04,0.3605869,2519.6836,0.13026199,0.09141733,0.36086422,0.672549843788147,0.30564582347869873,462.98846435546875,0.09524505585432053,0.06426558643579483,0.30857914686203003
6,0.6542461737990379,1e-04,0.33903208,2376.8635,0.11513733,0.0821689,0.33925202,0.5944832563400269,0.3051627576351166,462.2566223144531,0.09712830185890198,0.06492549926042557,0.31143665313720703
7,0.5729218311607838,1e-04,0.3174104,2224.8276,0.10094276,0.0732522,0.31765336,0.5393803119659424,0.29706498980522156,449.99029541015625,0.09202050417661667,0.061931632459163666,0.30326229333877563
8,0.5017182670533658,1e-04,0.29597446,2077.8806,0.087801054,0.06479661,0.2962345,0.4968056380748749,0.3073517680168152,465.5726013183594,0.10131391137838364,0.06682036072015762,0.3181518614292145
9,0.4397613264620304,1e-04,0.2752326,1938.9158,0.075898655,0.056963105,0.27542907,0.4051594138145447,0.25409457087516785,384.8991394042969,0.06717042624950409,0.04685984551906586,0.25909653306007385
10,0.38611389957368375,1e-04,0.25542358,1797.7278,0.06538117,0.049858667,0.25563386,0.37688305974006653,0.2670228183269501,404.4827880859375,0.07705248892307281,0.05242035537958145,0.277577668428421
